"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 21 12:07:41 CAT 2024","Sun Jul 21 12:07:48 CAT 2024","7197","","TS_OrangeHRM_Authentication_JUnit","","TS_OrangeHRM_Authentication_JUnit","tc_orange_authentication_login","TC - Orange - Authentication - Login repetition 1 of 1",""
"failed","Sun Jul 21 12:07:10 CAT 2024","Sun Jul 21 12:07:18 CAT 2024","8035","","TS_OrangeHRM_Authentication_JUnit","","TS_OrangeHRM_Authentication_JUnit","tc_orange_authentication_login_fail","TC - Orange - Authentication - Login - Fail repetition 1 of 1",""
"passed","Sun Jul 21 12:07:23 CAT 2024","Sun Jul 21 12:07:36 CAT 2024","12867","","TS_OrangeHRM_Authentication_JUnit","","TS_OrangeHRM_Authentication_JUnit","tc_orange_authentication_logout","TC - Orange - Authentication - Logout repetition 1 of 1",""
"failed","Sun Jul 21 12:06:52 CAT 2024","Sun Jul 21 12:07:05 CAT 2024","13121","","TS_ORANGEHRM_Navigation_JUnit","","TS_ORANGEHRM_Navigation_JUnit","tc_bag_navigation_menu","TC - Bag - Navigation - Menu repetition 1 of 1",""
"passed","Sun Jul 21 12:07:53 CAT 2024","Sun Jul 21 12:08:04 CAT 2024","10400","","TS_OrangeHRM_Authentication_JUnit","","TS_OrangeHRM_Authentication_JUnit","tc_orange_authentication_login_password_reset","TC - Orange - Authentication - Login - Password - Reset repetition 1 of 1",""
"passed","Sun Jul 21 12:06:35 CAT 2024","Sun Jul 21 12:06:47 CAT 2024","11417","","TS_ORANGEHRM_Navigation_JUnit","","TS_ORANGEHRM_Navigation_JUnit","tc_bag_navigation_menu_dashboard_timesheets","TC - Bag - Navigation - Menu - Dashboard - Timesheets repetition 1 of 1",""
"failed","Sun Jul 21 12:06:11 CAT 2024","Sun Jul 21 12:06:30 CAT 2024","19565","","TS_ORANGEHRM_Navigation_JUnit","","TS_ORANGEHRM_Navigation_JUnit","tc_bag_navigation_menu_shrink","TC - Bag - Navigation - Menu - Shrink repetition 1 of 1",""
